"food_order_id","food_id","reservation_id"
1,2,10734
2,6,22883
3,5,18258
4,14,18489
5,11,9781
6,10,9156
7,10,12369
8,10,16224
9,2,14497
10,11,2673
11,7,1189
12,12,3586
13,4,23706
14,7,20649
15,6,12297
16,9,17070
17,13,7679
18,3,21128
19,12,8484
20,8,2818
21,1,22629
22,7,121
23,2,17610
24,14,14782
25,2,16282
26,2,14753
27,14,10587
28,10,9697
29,7,22418
30,4,2989
31,11,1919
32,9,15084
33,14,14825
34,1,10679
35,14,21605
36,14,13598
37,11,17720
38,2,13763
39,10,20598
40,3,5508
41,14,24989
42,7,11768
43,6,13107
44,4,21732
45,6,19870
46,9,8736
47,8,9547
48,8,6381
49,7,13200
50,9,13190
51,2,24592
52,10,12992
53,11,17602
54,7,8490
55,10,4021
56,12,24116
57,1,22253
58,5,15848
59,7,8544
60,5,20045
61,14,15586
62,3,4778
63,1,13787
64,1,23829
65,11,22661
66,2,5792
67,7,13442
68,4,10714
69,5,5996
70,11,2314
71,14,8016
72,6,11405
73,5,18840
74,2,16973
75,10,19947
76,13,19590
77,8,21313
78,12,22451
79,1,17056
80,1,4334
81,7,19382
82,5,8361
83,11,21131
84,5,18354
85,13,7915
86,12,3332
87,5,3940
88,11,15353
89,14,4655
90,6,6749
91,6,7935
92,13,12537
93,6,21112
94,3,5816
95,1,19596
96,14,24812
97,7,8992
98,8,20852
99,5,12906
100,13,18144
101,10,15390
102,11,9248
103,6,9651
104,11,23682
105,6,20932
106,14,12092
107,10,12326
108,1,7166
109,10,24976
110,10,12962
111,7,15093
112,12,11116
113,11,3696
114,8,330
115,4,19502
116,6,9317
117,9,14180
118,2,14484
119,1,17034
120,8,15532
121,3,10537
122,8,311
123,7,24445
124,1,3654
125,10,10669
126,3,16141
127,5,6108
128,9,8764
129,6,5409
130,6,16788
131,7,12745
132,12,12048
133,5,7368
134,9,24116
135,10,17067
136,4,23532
137,5,1669
138,6,13759
139,2,16594
140,8,15971
141,2,23353
142,2,22229
143,2,22371
144,13,8050
145,4,7503
146,7,2393
147,8,2076
148,12,10647
149,11,8786
150,5,14406
151,8,12381
152,8,19551
153,9,11117
154,3,11532
155,14,13497
156,3,11894
157,3,9300
158,4,5506
159,6,24179
160,2,15617
161,9,21408
162,13,2568
163,14,21399
164,5,16940
165,1,10867
166,5,22110
167,6,18212
168,12,12450
169,4,12963
170,5,9079
171,8,1429
172,2,8264
173,2,18671
174,7,2802
175,7,12293
176,14,1820
177,1,22149
178,1,5875
179,9,5202
180,9,7728
181,11,17172
182,9,4751
183,7,2752
184,1,22504
185,10,19900
186,8,24972
187,12,18460
188,11,9962
189,11,6773
190,4,2956
191,2,21096
192,2,18228
193,14,22585
194,5,19797
195,13,9766
196,5,808
197,5,23071
198,13,5720
199,5,22209
200,11,24217
201,1,2455
202,4,16446
203,6,6313
204,12,22894
205,8,23551
206,11,5447
207,5,6946
208,13,16865
209,13,1424
210,12,3685
211,9,21624
212,2,13325
213,3,2041
214,1,8822
215,11,20238
216,2,1084
217,13,10970
218,8,12024
219,1,1428
220,7,8411
221,7,22865
222,11,5701
223,5,10592
224,5,4744
225,3,6678
226,1,14139
227,11,24118
228,6,12733
229,11,18560
230,14,16156
231,2,22168
232,12,12910
233,5,5625
234,10,10325
235,10,15142
236,10,16123
237,7,6043
238,13,6006
239,4,2142
240,9,11656
241,11,23707
242,10,20278
243,11,23508
244,3,14583
245,10,11270
246,7,1957
247,6,939
248,3,20226
249,14,626
250,13,23571
251,3,4499
252,11,18661
253,3,23392
254,3,20172
255,3,23994
256,5,12346
257,11,6892
258,6,18226
259,12,482
260,2,2868
261,8,13351
262,13,2694
263,11,18560
264,12,12111
265,10,14958
266,1,15790
267,13,16205
268,8,4501
269,7,24116
270,4,19578
271,9,22526
272,4,15703
273,10,12812
274,13,8299
275,10,10847
276,12,6360
277,6,11790
278,13,21442
279,8,22561
280,3,17577
281,3,1541
282,12,10173
283,14,5908
284,3,13194
285,9,24818
286,10,10832
287,12,7461
288,3,9364
289,3,23979
290,14,5464
291,10,6973
292,7,1516
293,12,5162
294,10,19878
295,9,5710
