"reservation_id","room_id","employee_id","goal_id","travel_agency_id","client_id","arrival_date","departure_date"
1,251,13,5,1,745,"2016-06-27","2016-07-08"
2,77,9,4,1,47,"2016-08-19","2016-09-05"
3,190,15,2,1,409,"2018-05-26","2018-06-04"
4,194,16,1,1,31,"2017-02-19","2017-02-25"
5,241,7,4,1,203,"2016-09-05","2016-10-01"
6,241,7,5,1,313,"2018-09-23","2018-09-27"
7,389,15,4,1,859,"2017-06-17","2017-07-03"
8,61,2,5,1,734,"2015-11-08","2015-12-01"
9,94,12,5,1,403,"2016-11-27","2016-11-29"
10,451,5,1,1,827,"2018-01-08","2018-01-22"
11,220,6,3,1,69,"2017-06-21","2017-06-25"
12,347,8,5,1,874,"2016-10-22","2016-11-19"
13,212,7,5,1,338,"2017-02-01","2017-02-07"
14,355,1,4,1,198,"2018-05-04","2018-05-14"
15,109,11,5,1,423,"2018-01-18","2018-01-25"
16,120,7,2,1,385,"2016-01-06","2016-01-20"
17,497,15,5,1,764,"2015-07-31","2015-08-27"
18,340,16,2,1,738,"2016-07-06","2016-07-10"
19,188,11,1,1,713,"2015-12-22","2016-01-13"
20,159,15,2,1,497,"2015-11-27","2015-12-27"
21,61,4,3,1,394,"2015-06-12","2015-06-29"
22,168,11,2,1,513,"2015-03-31","2015-04-21"
23,226,4,5,1,196,"2018-03-16","2018-03-25"
24,45,5,5,1,206,"2016-08-08","2016-08-17"
25,405,5,1,1,94,"2017-02-26","2017-03-19"
26,259,3,3,1,222,"2015-08-27","2015-09-05"
27,142,15,4,1,157,"2018-04-02","2018-04-24"
28,268,12,4,1,248,"2017-09-06","2017-10-03"
29,16,13,4,1,312,"2015-02-15","2015-03-12"
30,296,12,1,1,170,"2015-10-05","2015-10-19"
31,54,5,5,1,51,"2018-07-13","2018-07-17"
32,217,14,3,1,822,"2018-09-13","2018-10-11"
33,260,5,4,1,937,"2018-03-19","2018-04-08"
34,226,4,2,1,309,"2016-05-20","2016-06-03"
35,112,7,1,1,553,"2016-06-28","2016-07-26"
36,183,13,1,1,841,"2017-09-16","2017-10-02"
37,245,6,4,1,803,"2017-01-25","2017-02-09"
38,131,12,5,1,537,"2018-08-15","2018-08-18"
39,364,4,5,1,174,"2015-09-07","2015-09-10"
40,443,6,4,1,121,"2017-04-25","2017-05-05"
41,279,14,1,1,483,"2017-02-21","2017-03-05"
42,221,1,3,1,878,"2018-06-17","2018-07-03"
43,439,3,4,1,511,"2016-12-11","2016-12-23"
44,129,11,5,1,78,"2017-01-27","2017-02-19"
45,170,3,1,1,671,"2017-11-03","2017-11-19"
46,247,8,5,1,653,"2017-07-23","2017-08-11"
47,41,9,2,1,288,"2018-03-26","2018-04-07"
48,4,3,1,1,2,"2017-04-14","2017-04-18"
49,104,8,5,1,663,"2018-04-08","2018-04-08"
